natx =      691
    x       y        z       iph  
     -2.22245     -4.44490     -6.66735   1      8.31565
      8.88980      0.00000      0.00000   1      8.88980
     -8.88980      0.00000      0.00000   1      8.88980
      0.00000      8.88980      0.00000   1      8.88980
      0.00000     -8.88980      0.00000   1      8.88980
      0.00000      0.00000      8.88980   1      8.88980
      0.00000      0.00000     -8.88980   1      8.88980
      8.88980      2.22245      0.00000   2      9.16340
     -8.88980      2.22245      0.00000   2      9.16340
      2.22245      8.88980      0.00000   2      9.16340
     -2.22245      8.88980      0.00000   2      9.16340
      8.88980     -2.22245      0.00000   2      9.16340
     -8.88980     -2.22245      0.00000   2      9.16340
      2.22245     -8.88980      0.00000   2      9.16340
     -2.22245     -8.88980      0.00000   2      9.16340
      8.88980      0.00000      2.22245   2      9.16340
     -8.88980      0.00000      2.22245   2      9.16340
      0.00000      8.88980      2.22245   2      9.16340
      0.00000     -8.88980      2.22245   2      9.16340
      6.66735      4.44490      4.44490   2      9.16340
     -6.66735      4.44490      4.44490   2      9.16340
      4.44490      6.66735      4.44490   2      9.16340
     -4.44490      6.66735      4.44490   2      9.16340
      6.66735     -4.44490      4.44490   2      9.16340
     -6.66735     -4.44490      4.44490   2      9.16340
      4.44490     -6.66735      4.44490   2      9.16340
     -4.44490     -6.66735      4.44490   2      9.16340
      4.44490      4.44490      6.66735   2      9.16340
     -4.44490      4.44490      6.66735   2      9.16340
      4.44490     -4.44490      6.66735   2      9.16340
     -4.44490     -4.44490      6.66735   2      9.16340
      2.22245      0.00000      8.88980   2      9.16340
     -2.22245      0.00000      8.88980   2      9.16340
      0.00000      2.22245      8.88980   2      9.16340
      0.00000     -2.22245      8.88980   2      9.16340
      8.88980      0.00000     -2.22245   2      9.16340
     -8.88980      0.00000     -2.22245   2      9.16340
      0.00000      8.88980     -2.22245   2      9.16340
      0.00000     -8.88980     -2.22245   2      9.16340
      6.66735      4.44490     -4.44490   2      9.16340
     -6.66735      4.44490     -4.44490   2      9.16340
      4.44490      6.66735     -4.44490   2      9.16340
     -4.44490      6.66735     -4.44490   2      9.16340
      6.66735     -4.44490     -4.44490   2      9.16340
     -6.66735     -4.44490     -4.44490   2      9.16340
      4.44490     -6.66735     -4.44490   2      9.16340
     -4.44490     -6.66735     -4.44490   2      9.16340
      4.44490      4.44490     -6.66735   2      9.16340
     -4.44490      4.44490     -6.66735   2      9.16340
      4.44490     -4.44490     -6.66735   2      9.16340
     -4.44490     -4.44490     -6.66735   2      9.16340
      2.22245      0.00000     -8.88980   2      9.16340
     -2.22245      0.00000     -8.88980   2      9.16340
      0.00000      2.22245     -8.88980   2      9.16340
      0.00000     -2.22245     -8.88980   2      9.16340
      6.66735      6.66735      0.00000   1      9.42906
     -6.66735      6.66735      0.00000   1      9.42906
      6.66735     -6.66735      0.00000   1      9.42906
     -6.66735     -6.66735      0.00000   1      9.42906
      8.88980      2.22245      2.22245   1      9.42906
     -8.88980      2.22245      2.22245   1      9.42906
      2.22245      8.88980      2.22245   1      9.42906
     -2.22245      8.88980      2.22245   1      9.42906
      8.88980     -2.22245      2.22245   1      9.42906
     -8.88980     -2.22245      2.22245   1      9.42906
      2.22245     -8.88980      2.22245   1      9.42906
     -2.22245     -8.88980      2.22245   1      9.42906
      6.66735      0.00000      6.66735   1      9.42906
     -6.66735      0.00000      6.66735   1      9.42906
      0.00000      6.66735      6.66735   1      9.42906
      0.00000     -6.66735      6.66735   1      9.42906
      2.22245      2.22245      8.88980   1      9.42906
     -2.22245      2.22245      8.88980   1      9.42906
      2.22245     -2.22245      8.88980   1      9.42906
     -2.22245     -2.22245      8.88980   1      9.42906
      8.88980      2.22245     -2.22245   1      9.42906
     -8.88980      2.22245     -2.22245   1      9.42906
