natx =      705
    x       y        z       iph  
     -6.76375     -1.35275     -6.76375   2      9.66057
      1.35275     -6.76375     -6.76375   2      9.66057
     -1.35275     -6.76375     -6.76375   2      9.66057
      1.35275      1.35275     -9.46925   2      9.66057
     -1.35275      1.35275     -9.46925   2      9.66057
      1.35275     -1.35275     -9.46925   2      9.66057
     -1.35275     -1.35275     -9.46925   2      9.66057
      8.11650      5.41100      2.70550   1     10.12305
     -8.11650      5.41100      2.70550   1     10.12305
      5.41100      8.11650      2.70550   1     10.12305
     -5.41100      8.11650      2.70550   1     10.12305
      8.11650     -5.41100      2.70550   1     10.12305
     -8.11650     -5.41100      2.70550   1     10.12305
      5.41100     -8.11650      2.70550   1     10.12305
     -5.41100     -8.11650      2.70550   1     10.12305
      8.11650      2.70550      5.41100   1     10.12305
     -8.11650      2.70550      5.41100   1     10.12305
      2.70550      8.11650      5.41100   1     10.12305
     -2.70550      8.11650      5.41100   1     10.12305
      8.11650     -2.70550      5.41100   1     10.12305
     -8.11650     -2.70550      5.41100   1     10.12305
      2.70550     -8.11650      5.41100   1     10.12305
     -2.70550     -8.11650      5.41100   1     10.12305
      5.41100      2.70550      8.11650   1     10.12305
     -5.41100      2.70550      8.11650   1     10.12305
      2.70550      5.41100      8.11650   1     10.12305
     -2.70550      5.41100      8.11650   1     10.12305
      5.41100     -2.70550      8.11650   1     10.12305
     -5.41100     -2.70550      8.11650   1     10.12305
      2.70550     -5.41100      8.11650   1     10.12305
     -2.70550     -5.41100      8.11650   1     10.12305
      8.11650      5.41100     -2.70550   1     10.12305
     -8.11650      5.41100     -2.70550   1     10.12305
      5.41100      8.11650     -2.70550   1     10.12305
     -5.41100      8.11650     -2.70550   1     10.12305
      8.11650     -5.41100     -2.70550   1     10.12305
     -8.11650     -5.41100     -2.70550   1     10.12305
      5.41100     -8.11650     -2.70550   1     10.12305
     -5.41100     -8.11650     -2.70550   1     10.12305
      8.11650      2.70550     -5.41100   1     10.12305
     -8.11650      2.70550     -5.41100   1     10.12305
      2.70550      8.11650     -5.41100   1     10.12305
     -2.70550      8.11650     -5.41100   1     10.12305
      8.11650     -2.70550     -5.41100   1     10.12305
     -8.11650     -2.70550     -5.41100   1     10.12305
      2.70550     -8.11650     -5.41100   1     10.12305
     -2.70550     -8.11650     -5.41100   1     10.12305
      5.41100      2.70550     -8.11650   1     10.12305
     -5.41100      2.70550     -8.11650   1     10.12305
      2.70550      5.41100     -8.11650   1     10.12305
     -2.70550      5.41100     -8.11650   1     10.12305
      5.41100     -2.70550     -8.11650   1     10.12305
     -5.41100     -2.70550     -8.11650   1     10.12305
      2.70550     -5.41100     -8.11650   1     10.12305
     -2.70550     -5.41100     -8.11650   1     10.12305
      9.46925      4.05825      1.35275   2     10.39067
     -9.46925      4.05825      1.35275   2     10.39067
      4.05825      9.46925      1.35275   2     10.39067
     -4.05825      9.46925      1.35275   2     10.39067
      9.46925     -4.05825      1.35275   2     10.39067
     -9.46925     -4.05825      1.35275   2     10.39067
      4.05825     -9.46925      1.35275   2     10.39067
     -4.05825     -9.46925      1.35275   2     10.39067
      9.46925      1.35275      4.05825   2     10.39067
     -9.46925      1.35275      4.05825   2     10.39067
      6.76375      6.76375      4.05825   2     10.39067
     -6.76375      6.76375      4.05825   2     10.39067
      1.35275      9.46925      4.05825   2     10.39067
     -1.35275      9.46925      4.05825   2     10.39067
      9.46925     -1.35275      4.05825   2     10.39067
     -9.46925     -1.35275      4.05825   2     10.39067
      6.76375     -6.76375      4.05825   2     10.39067
     -6.76375     -6.76375      4.05825   2     10.39067
      1.35275     -9.46925      4.05825   2     10.39067
     -1.35275     -9.46925      4.05825   2     10.39067
      6.76375      4.05825      6.76375   2     10.39067
     -6.76375      4.05825      6.76375   2     10.39067
      4.05825      6.76375      6.76375   2     10.39067
     -4.05825      6.76375      6.76375   2     10.39067
      6.76375     -4.05825      6.76375   2     10.39067
     -6.76375     -4.05825      6.76375   2     10.39067
      4.05825     -6.76375      6.76375   2     10.39067
     -4.05825     -6.76375      6.76375   2     10.39067
      4.05825      1.35275      9.46925   2     10.39067
     -4.05825      1.35275      9.46925   2     10.39067
      1.35275      4.05825      9.46925   2     10.39067
     -1.35275      4.05825      9.46925   2     10.39067
      4.05825     -1.35275      9.46925   2     10.39067
     -4.05825     -1.35275      9.46925   2     10.39067
      1.35275     -4.05825      9.46925   2     10.39067
     -1.35275     -4.05825      9.46925   2     10.39067
      9.46925      4.05825     -1.35275   2     10.39067
     -9.46925      4.05825     -1.35275   2     10.39067
      4.05825      9.46925     -1.35275   2     10.39067
     -4.05825      9.46925     -1.35275   2     10.39067
      9.46925     -4.05825     -1.35275   2     10.39067
     -9.46925     -4.05825     -1.35275   2     10.39067
      4.05825     -9.46925     -1.35275   2     10.39067
     -4.05825     -9.46925     -1.35275   2     10.39067
      9.46925      1.35275     -4.05825   2     10.39067
     -9.46925      1.35275     -4.05825   2     10.39067
      6.76375      6.76375     -4.05825   2     10.39067
     -6.76375      6.76375     -4.05825   2     10.39067
      1.35275      9.46925     -4.05825   2     10.39067
     -1.35275      9.46925     -4.05825   2     10.39067
      9.46925     -1.35275     -4.05825   2     10.39067
     -9.46925     -1.35275     -4.05825   2     10.39067
      6.76375     -6.76375     -4.05825   2     10.39067
     -6.76375     -6.76375     -4.05825   2     10.39067
      1.35275     -9.46925     -4.05825   2     10.39067
     -1.35275     -9.46925     -4.05825   2     10.39067
      6.76375      4.05825     -6.76375   2     10.39067
     -6.76375      4.05825     -6.76375   2     10.39067
      4.05825      6.76375     -6.76375   2     10.39067
     -4.05825      6.76375     -6.76375   2     10.39067
      6.76375     -4.05825     -6.76375   2     10.39067
     -6.76375     -4.05825     -6.76375   2     10.39067
      4.05825     -6.76375     -6.76375   2     10.39067
     -4.05825     -6.76375     -6.76375   2     10.39067
      4.05825      1.35275     -9.46925   2     10.39067
     -4.05825      1.35275     -9.46925   2     10.39067
      1.35275      4.05825     -9.46925   2     10.39067
     -1.35275      4.05825     -9.46925   2     10.39067
      4.05825     -1.35275     -9.46925   2     10.39067
     -4.05825     -1.35275     -9.46925   2     10.39067
      1.35275     -4.05825     -9.46925   2     10.39067
     -1.35275     -4.05825     -9.46925   2     10.39067
     10.82200      0.00000      0.00000   1     10.82200
    -10.82200      0.00000      0.00000   1     10.82200
      0.00000     10.82200      0.00000   1     10.82200
      0.00000    -10.82200      0.00000   1     10.82200
      0.00000      0.00000     10.82200   1     10.82200
      0.00000      0.00000    -10.82200   1     10.82200
      9.46925      4.05825      4.05825   2     11.07274
     -9.46925      4.05825      4.05825   2     11.07274
      4.05825      9.46925      4.05825   2     11.07274
     -4.05825      9.46925      4.05825   2     11.07274
      9.46925     -4.05825      4.05825   2     11.07274
     -9.46925     -4.05825      4.05825   2     11.07274
      4.05825     -9.46925      4.05825   2     11.07274
     -4.05825     -9.46925      4.05825   2     11.07274
      4.05825      4.05825      9.46925   2     11.07274
     -4.05825      4.05825      9.46925   2     11.07274
      4.05825     -4.05825      9.46925   2     11.07274
     -4.05825     -4.05825      9.46925   2     11.07274
      9.46925      4.05825     -4.05825   2     11.07274
     -9.46925      4.05825     -4.05825   2     11.07274
      4.05825      9.46925     -4.05825   2     11.07274
     -4.05825      9.46925     -4.05825   2     11.07274
      9.46925     -4.05825     -4.05825   2     11.07274
     -9.46925     -4.05825     -4.05825   2     11.07274
      4.05825     -9.46925     -4.05825   2     11.07274
     -4.05825     -9.46925     -4.05825   2     11.07274
      4.05825      4.05825     -9.46925   2     11.07274
     -4.05825      4.05825     -9.46925   2     11.07274
