     9.4500   -2.875969E-03  9.989045E-03  3.484957E+01
     9.5000   -4.595051E-03  9.178831E-03  3.508183E+01
     9.5500   -5.749463E-03  8.472114E-03  3.530342E+01
     9.6000   -6.366913E-03  7.818153E-03  3.550917E+01
     9.6500   -6.595432E-03  7.254387E-03  3.569879E+01
     9.7000   -6.592557E-03  6.810505E-03  3.587465E+01
     9.7500   -6.477767E-03  6.501861E-03  3.604220E+01
     9.8000   -6.304094E-03  6.324724E-03  3.620911E+01
     9.8500   -6.054923E-03  6.256756E-03  3.638300E+01
     9.9000   -5.664023E-03  6.263318E-03  3.656934E+01
     9.9500   -5.050183E-03  6.306311E-03  3.677046E+01
    10.0000   -4.154392E-03  6.351455E-03  3.698614E+01
    10.0500   -3.035631E-03  6.486794E-03  3.721212E+01
    10.1000   -1.631712E-03  6.600043E-03  3.744929E+01
    10.1500   -2.270689E-05  6.676720E-03  3.769571E+01
    10.2000    1.661661E-03  6.707390E-03  3.794945E+01
    10.2500    3.262620E-03  6.686881E-03  3.820881E+01
    10.3000    4.619011E-03  6.613411E-03  3.847231E+01
    10.3500    5.593879E-03  6.487735E-03  3.873876E+01
    10.4000    6.095702E-03  6.312384E-03  3.900714E+01
    10.4500    6.090888E-03  6.091026E-03  3.927663E+01
    10.5000    5.606405E-03  5.827967E-03  3.954653E+01
    10.5500    4.723324E-03  5.527805E-03  3.981618E+01
    10.6000    3.563307E-03  5.195241E-03  4.008489E+01
    10.6500    2.270584E-03  4.835048E-03  4.035186E+01
    10.7000    9.920007E-04  4.452184E-03  4.061601E+01
    10.7500   -1.424143E-04  4.052030E-03  4.087586E+01
    10.8000   -1.036067E-03  3.640744E-03  4.112927E+01
    10.8500   -1.637378E-03  3.225727E-03  4.137310E+01
    10.9000   -1.944363E-03  2.816233E-03  4.160276E+01
    10.9500   -2.000953E-03  2.424159E-03  4.181165E+01
    11.0000   -1.885005E-03  2.065038E-03  4.199084E+01
    11.0500   -1.735571E-03  1.803291E-03  4.213658E+01
    11.1000   -1.577160E-03  1.602187E-03  4.223452E+01
    11.1500   -1.480440E-03  1.491447E-03  4.228993E+01
    11.2000   -1.484798E-03  1.489434E-03  4.233259E+01
    11.2500   -1.588020E-03  1.588076E-03  4.240313E+01
    11.3000   -1.745980E-03  1.757184E-03  4.252449E+01
    11.3500   -1.883106E-03  1.962301E-03  4.269657E+01
    11.4000   -1.911627E-03  2.175579E-03  4.290922E+01
    11.4500   -1.755146E-03  2.377195E-03  4.315171E+01
    11.5000   -1.370696E-03  2.553529E-03  4.341568E+01
    11.5500   -7.635186E-04  2.695355E-03  4.369509E+01
    11.6000    9.540779E-06  2.796651E-03  4.398571E+01
    11.6500    8.492842E-04  2.853897E-03  4.428446E+01
    11.7000    1.634067E-03  2.865649E-03  4.458908E+01
    11.7500    2.245589E-03  2.832255E-03  4.489779E+01
    11.8000    2.594239E-03  2.755639E-03  4.520914E+01
    11.8500    2.637814E-03  2.639101E-03  4.552186E+01
    11.9000    2.389144E-03  2.487129E-03  4.583473E+01
    11.9500    1.911116E-03  2.305196E-03  4.614649E+01
    12.0000    1.300756E-03  2.099559E-03  4.645574E+01
    12.0500    6.890703E-04  1.952205E-03  4.676315E+01
    12.1000    1.039666E-04  1.787631E-03  4.706570E+01
    12.1500   -3.785862E-04  1.610450E-03  4.736119E+01
    12.2000   -7.117222E-04  1.425665E-03  4.764659E+01
    12.2500   -8.830754E-04  1.238708E-03  4.791752E+01
