# Orientation sensitive EELS calculation - beam energy =   300.keV
# Sample to beam orientation :    0.000    1.000    0.000
# Collection and convergence semiangle:      2.400      0.000   ; # points:     5 x 3
# Detector position:     0.0000     0.0000
# Units are a_0^2 / eV.  Multiply by 28.00 10^-18  to get cm^-2 / eV.  Or by 28 to get Mbarn / eV.
# Relativistic and cross-terms.
# # POT  SCF 100  4.0000   0, screened core-hole, AFOLP (folp(0)= 1.150)                            
# # Gam_ch=1.729E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00                                           
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000                                
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00                                           
#  Energy       total         atomic-bg     fine-struct   xx            xy            xz            yx            yy            yz            zx            zy            zz
   9028.69      0.543683E-11  0.523745E-11  0.199372E-12  0.110701E-12 -0.701636E-36 -0.299972E-37 -0.601719E-36  0.521483E-11 -0.129304E-35 -0.329359E-37 -0.110496E-35  0.111300E-12
   9029.94      0.548035E-11  0.523739E-11  0.242963E-12  0.111557E-12 -0.414945E-36 -0.898055E-38 -0.307681E-36  0.525662E-11 -0.235099E-36 -0.898055E-38 -0.235099E-36  0.112176E-12
   9031.20      0.549778E-11  0.523729E-11  0.260491E-12  0.111883E-12  0.122993E-36  0.289883E-37  0.125931E-36  0.527348E-11  0.658277E-36  0.275189E-37  0.705297E-36  0.112422E-12
   9032.49      0.548173E-11  0.523716E-11  0.244578E-12  0.111529E-12  0.337324E-36  0.337932E-37  0.335855E-36  0.525830E-11  0.110496E-35  0.257117E-37  0.916886E-36  0.111907E-12
   9033.80      0.544597E-11  0.523827E-11  0.207704E-12  0.110774E-12  0.529450E-36  0.275266E-37  0.529450E-36  0.522425E-11  0.952150E-36  0.275266E-37  0.764071E-36  0.110951E-12
   9035.12      0.537183E-11  0.523933E-11  0.132506E-12  0.109239E-12  0.731186E-36  0.323608E-37  0.766451E-36  0.515339E-11  0.963905E-36  0.338302E-37  0.987415E-36  0.109207E-12
   9036.46      0.526741E-11  0.524035E-11  0.270698E-13  0.107088E-12  0.931482E-36  0.277714E-37  0.778668E-36  0.505344E-11  0.124602E-35  0.277714E-37  0.124602E-35  0.106890E-12
   9037.82      0.514735E-11  0.524133E-11 -0.939838E-13  0.104618E-12  0.445361E-36  0.338651E-37  0.442423E-36  0.493840E-11  0.940395E-36  0.353345E-37  0.928641E-36  0.104325E-12
   9039.20      0.503049E-11  0.524269E-11 -0.212202E-12  0.102213E-12  0.274176E-37  0.389799E-38  0.272339E-37  0.482637E-11  0.202773E-36  0.426533E-38  0.202773E-36  0.101904E-12
   9040.60      0.493017E-11  0.524404E-11 -0.313872E-12  0.100143E-12 -0.205204E-36 -0.102789E-37 -0.240469E-36  0.473015E-11 -0.240976E-36 -0.752385E-38 -0.258609E-36  0.998770E-13
   9042.02      0.486329E-11  0.524533E-11 -0.382039E-12  0.987533E-13 -0.883407E-37 -0.473543E-38 -0.111851E-36  0.466599E-11 -0.105794E-36 -0.427625E-38 -0.105794E-36  0.985454E-13
   9043.46      0.483852E-11  0.524658E-11 -0.408058E-12  0.982194E-13  0.289668E-36  0.280147E-37  0.283791E-36  0.464227E-11  0.634767E-36  0.221372E-37  0.670032E-36  0.980362E-13
   9044.92      0.485721E-11  0.524951E-11 -0.392299E-12  0.985684E-13 -0.879659E-38  0.353154E-38 -0.102200E-37  0.466029E-11  0.881621E-37  0.252135E-38  0.866927E-37  0.983468E-13
   9046.40      0.491287E-11  0.525237E-11 -0.339503E-12  0.996684E-13 -0.555418E-37 -0.218732E-38 -0.628887E-37  0.471386E-11 -0.705297E-37 -0.301384E-38 -0.778765E-37  0.993382E-13
   9047.89      0.499112E-11  0.525522E-11 -0.264097E-12  0.101226E-12  0.912426E-37  0.197997E-38  0.912426E-37  0.478914E-11  0.617135E-37  0.202589E-38  0.631828E-37  0.100758E-12
   9049.41      0.507453E-11  0.525801E-11 -0.183480E-12  0.102886E-12  0.429945E-36  0.120942E-37  0.406435E-36  0.486933E-11  0.440810E-36  0.128289E-37  0.382036E-36  0.102318E-12
   9050.94      0.514998E-11  0.525967E-11 -0.109690E-12  0.104381E-12 -0.177782E-37  0.646553E-38 -0.197068E-37  0.494178E-11  0.176324E-36  0.683287E-38  0.173385E-36  0.103811E-12
   9052.49      0.520479E-11  0.526126E-11 -0.564726E-13  0.105453E-12  0.414697E-37  0.149583E-37  0.387146E-37  0.499430E-11  0.423178E-36  0.127542E-37  0.387913E-36  0.105033E-12
   9054.06      0.523438E-11  0.526282E-11 -0.284395E-13  0.106011E-12  0.622893E-36  0.674665E-37  0.622893E-36  0.502248E-11  0.122251E-35  0.645278E-37  0.119900E-35  0.105884E-12
   9055.66      0.524146E-11  0.526434E-11 -0.228790E-13  0.106110E-12  0.158800E-35  0.127877E-36  0.127061E-35  0.502899E-11  0.230397E-35  0.808570E-37  0.253907E-35  0.106357E-12
   9057.26      0.523783E-11  0.526688E-11 -0.290535E-13  0.105992E-12  0.207388E-35  0.959508E-37  0.205037E-35  0.502523E-11  0.277417E-35  0.959508E-37  0.258609E-35  0.106600E-12
   9058.89      0.522936E-11  0.526940E-11 -0.400431E-13  0.105779E-12  0.175682E-35  0.927992E-37  0.168629E-35  0.501696E-11  0.244503E-35  0.428407E-37  0.235099E-35  0.106619E-12
