# # Cu                                                           FEFF 10.0   
# # POT  SCF 100  4.0000   0, core-hole, AFOLP (folp(0)= 1.150)
# # Abs   Z=29 Rmt= 1.437 Rnm= 1.489 K  shell
# # Pot 1 Z=29 Rmt= 1.344 Rnm= 1.381
# # Gam_ch=1.729E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
# # Mu=-7.990E+00eV kf=1.994E+00 Vint=-1.742E+01eV Rs_int= 1.819
# # PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
#  S02=1.000  Temp= 450.00  Debye_temp= 315.00  Global_sig2= 0.00000
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00
#  Curved wave amplitude ratio filter   4.000%
#     file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
#           1       0.01186    100.00     12.00     2   2.5323
#           2       0.01638     22.99      6.00     2   3.5812
#           3       0.01119     10.61     48.00     3   3.7984
#           4       0.01433      7.52     48.00     3   4.3229
#           5       0.01536     55.07     24.00     2   4.3860
#           6       0.01453     11.25     48.00     3   4.7253
#           7       0.01447     17.45     96.00     3   4.7253
#           8       0.01475     18.67     12.00     2   5.0645
#           9       0.01531      8.74     12.00     3   5.0646
#          10       0.01475     39.86     24.00     3   5.0645
#          11       0.01531      9.74     12.00     4   5.0646
#          12       0.02372      4.05     12.00     4   5.0646
#          14       0.01475     31.90     12.00     4   5.0645
#          16       0.01555     27.24     24.00     2   5.6623
#          17       0.01645      8.94     48.00     3   5.8879
#          18       0.01554      5.83     48.00     3   5.8879
#          19       0.01562      6.34     48.00     3   5.8879
#          20       0.01456      4.31     96.00     3   5.9914
#          21       0.01476      4.97     96.00     3   5.9914
#          22       0.01476      4.66     96.00     4   5.9914
#          23       0.01456      4.81     96.00     4   5.9914
#          25       0.01504      6.95      8.00     2   6.2028
#          26       0.01511      5.01     96.00     3   6.2903
#          27       0.01590      4.11     48.00     3   6.5605
#          29       0.01510     33.09     48.00     2   6.6998
#          30       0.01613     16.57     96.00     3   6.8090
#          31       0.01503      9.61     96.00     3   6.8090
#          32       0.01509      9.06     96.00     3   6.8090
#          34       0.02772      4.86     96.00     4   6.9183
#          35       0.01533      4.78     96.00     3   7.1483
#          41       0.01550      5.49     12.00     3   7.1623
#          43       0.01567      4.01     24.00     3   7.5968
#          44       0.01567      7.83     24.00     6   7.5968
#          47       0.01567      4.10     24.00     4   7.5968
#          48       0.01567      4.48     24.00     5   7.5968
#          49       0.01567      5.15     24.00     5   7.5968
#          50       0.01567      5.50     24.00     5   7.5968
#          51       0.01674      4.02     48.00     3   7.7820
#          52       0.01550      5.42     96.00     3   7.8957
#    39/  49 paths used
#  -----------------------------------------------------------------------
#       k          chi          mag           phase @#
     7.4000    1.219365E-02  1.278815E-02  3.268061E+01
     7.4500    7.396903E-03  7.662874E-03  3.272248E+01
     7.5000    3.020855E-03  4.550917E-03  3.214180E+01
     7.5500    8.716155E-04  7.622346E-03  3.153053E+01
     7.6000    2.292103E-03  1.316576E-02  3.159091E+01
     7.6500    7.721585E-03  1.897578E-02  3.183500E+01
     7.7000    1.623687E-02  2.450062E-02  3.214036E+01
     7.7500    2.562881E-02  2.941722E-02  3.247360E+01
     7.8000    3.301684E-02  3.347254E-02  3.282152E+01
     7.8500    3.581252E-02  3.647198E-02  3.317718E+01
     7.9000    3.265760E-02  3.828801E-02  3.353592E+01
     7.9500    2.394221E-02  3.886983E-02  3.389392E+01
     8.0000    1.167260E-02  3.824974E-02  3.424740E+01
     8.0500   -1.277094E-03  3.666871E-02  3.459235E+01
     8.1000   -1.221572E-02  3.419794E-02  3.492279E+01
     8.1500   -1.943370E-02  3.111630E-02  3.523207E+01
     8.2000   -2.267075E-02  2.777751E-02  3.551224E+01
     8.2500   -2.290277E-02  2.459153E-02  3.575556E+01
     8.3000   -2.166025E-02  2.197387E-02  3.595916E+01
     8.3500   -2.023260E-02  2.023278E-02  3.613256E+01
     8.4000   -1.913363E-02  1.941804E-02  3.629968E+01
     8.4500   -1.804665E-02  1.927021E-02  3.648658E+01
     8.5000   -1.621652E-02  1.936079E-02  3.670624E+01
     8.5500   -1.314173E-02  1.942934E-02  3.695627E+01
     8.6000   -8.667671E-03  1.908308E-02  3.722763E+01
     8.6500   -3.459786E-03  1.819570E-02  3.750780E+01
     8.7000    1.399416E-03  1.677825E-02  3.778262E+01
     8.7500    4.934883E-03  1.496840E-02  3.803508E+01
     8.8000    6.755241E-03  1.303154E-02  3.824406E+01
     8.8500    7.227731E-03  1.136555E-02  3.838833E+01
     8.9000    7.260863E-03  1.043835E-02  3.846836E+01
     8.9500    7.808991E-03  1.052911E-02  3.853465E+01
     9.0000    9.355397E-03  1.145625E-02  3.865464E+01
     9.0500    1.175668E-02  1.286457E-02  3.885185E+01
     9.1000    1.404329E-02  1.422301E-02  3.911077E+01
     9.1500    1.508879E-02  1.523992E-02  3.941086E+01
     9.2000    1.406709E-02  1.574725E-02  3.973606E+01
     9.2500    1.086230E-02  1.567033E-02  4.007482E+01
     9.3000    6.154981E-03  1.500709E-02  4.041810E+01
     9.3500    1.148889E-03  1.381480E-02  4.075744E+01
     9.4000   -2.926707E-03  1.220139E-02  4.108293E+01
     9.4500   -5.303888E-03  1.032142E-02  4.138040E+01
     9.5000   -5.932766E-03  8.380722E-03  4.162723E+01
     9.5500   -5.485450E-03  6.720636E-03  4.179552E+01
     9.6000   -4.720132E-03  5.574224E-03  4.185060E+01
     9.6500   -4.404710E-03  5.261503E-03  4.183277E+01
     9.7000   -4.889227E-03  5.714118E-03  4.186749E+01
     9.7500   -5.996485E-03  6.507573E-03  4.201253E+01
     9.8000   -7.165404E-03  7.270057E-03  4.224162E+01
     9.8500   -7.756288E-03  7.801166E-03  4.251882E+01
     9.9000   -7.360837E-03  8.018731E-03  4.281940E+01
     9.9500   -5.972948E-03  7.912860E-03  4.312689E+01
    10.0000   -3.956114E-03  7.522565E-03  4.342852E+01
    10.0500   -1.904824E-03  7.054287E-03  4.370888E+01
    10.1000   -1.408707E-04  6.484495E-03  4.396057E+01
    10.1500    1.134717E-03  5.933456E-03  4.417472E+01
    10.2000    1.993591E-03  5.528360E-03  4.435122E+01
    10.2500    2.684922E-03  5.362206E-03  4.450672E+01
    10.3000    3.460908E-03  5.445084E-03  4.467109E+01
    10.3500    4.415966E-03  5.698849E-03  4.486883E+01
    10.4000    5.419104E-03  6.006036E-03  4.510732E+01
    10.4500    6.168252E-03  6.260294E-03  4.538140E+01
    10.5000    6.334535E-03  6.387459E-03  4.568191E+01
    10.5500    5.723378E-03  6.346624E-03  4.599998E+01
    10.6000    4.375748E-03  6.124819E-03  4.632808E+01
    10.6500    2.565523E-03  5.731009E-03  4.665975E+01
    10.7000    6.992285E-04  5.190723E-03  4.698877E+01
    10.7500   -8.324960E-04  4.541446E-03  4.730824E+01
    10.8000   -1.785728E-03  3.828910E-03  4.760908E+01
    10.8500   -2.124914E-03  3.104781E-03  4.787767E+01
    10.9000   -1.999328E-03  2.426852E-03  4.809203E+01
    10.9500   -1.656093E-03  1.862854E-03  4.821906E+01
    11.0000   -1.334272E-03  1.491340E-03  4.823160E+01
    11.0500   -1.224735E-03  1.403700E-03  4.818420E+01
    11.1000   -1.317127E-03  1.505521E-03  4.818905E+01
    11.1500   -1.553138E-03  1.689103E-03  4.829071E+01
    11.2000   -1.823228E-03  1.873380E-03  4.846278E+01
    11.2500   -2.021781E-03  2.022286E-03  4.867234E+01
    11.3000   -2.084874E-03  2.128545E-03  4.889760E+01
    11.3500   -1.998630E-03  2.200454E-03  4.912633E+01
    11.4000   -1.782346E-03  2.253481E-03  4.935315E+01
    11.4500   -1.461848E-03  2.303820E-03  4.957808E+01
    11.5000   -1.050282E-03  2.363057E-03  4.980491E+01
    11.5500   -5.464670E-04  2.434826E-03  5.003912E+01
    11.6000    5.026328E-05  2.514484E-03  5.028547E+01
    11.6500    7.190191E-04  2.591494E-03  5.054663E+01
    11.7000    1.403418E-03  2.652958E-03  5.082291E+01
    11.7500    2.014064E-03  2.686735E-03  5.111299E+01
    11.8000    2.448462E-03  2.683421E-03  5.141469E+01
    11.8500    2.621097E-03  2.637245E-03  5.172556E+01
    11.9000    2.491859E-03  2.546174E-03  5.204320E+01
    11.9500    2.081804E-03  2.411565E-03  5.236538E+01
    12.0000    1.470446E-03  2.237582E-03  5.269003E+01
    12.0500    7.973769E-04  2.109524E-03  5.301945E+01
    12.1000    1.151042E-04  1.947123E-03  5.334793E+01
    12.1500   -4.607979E-04  1.755851E-03  5.367262E+01
    12.2000   -8.488046E-04  1.542509E-03  5.398977E+01
    12.2500   -1.019132E-03  1.315062E-03  5.429374E+01
    12.3000   -9.961275E-04  1.082726E-03  5.457520E+01
    12.3500   -8.456339E-04  8.566542E-04  5.481730E+01
    12.4000   -6.520193E-04  6.520546E-04  5.498828E+01
    12.4500   -4.922944E-04  4.931128E-04  5.503549E+01
    12.5000   -4.150668E-04  4.154590E-04  5.493442E+01
    12.5500   -4.301077E-04  4.352796E-04  5.482356E+01
    12.6000   -5.107193E-04  5.146057E-04  5.485489E+01
    12.6500   -6.070416E-04  6.074111E-04  5.501275E+01
    12.7000   -6.651810E-04  6.892615E-04  5.524298E+01
    12.7500   -6.455760E-04  7.498419E-04  5.551153E+01
    12.8000   -5.347651E-04  7.855466E-04  5.579987E+01
    12.8500   -3.473776E-04  7.963117E-04  5.609726E+01
    12.9000   -1.187451E-04  7.842786E-04  5.639668E+01
    12.9500    1.082596E-04  7.531020E-04  5.669292E+01
    13.0000    2.968854E-04  7.074597E-04  5.698173E+01
    13.0500    4.453159E-04  6.821442E-04  5.725997E+01
    13.1000    5.417959E-04  6.526120E-04  5.752813E+01
    13.1500    5.879706E-04  6.221389E-04  5.778650E+01
    13.2000    5.911721E-04  5.931870E-04  5.803702E+01
    13.2500    5.594588E-04  5.670265E-04  5.828302E+01
    13.3000    4.987288E-04  5.435909E-04  5.852858E+01
    13.3500    4.127861E-04  5.216613E-04  5.877734E+01
    13.4000    3.056591E-04  4.993388E-04  5.903151E+01
    13.4500    1.843642E-04  4.746333E-04  5.929133E+01
    13.5000    6.016353E-05  4.459896E-04  5.955495E+01
    13.5500   -5.279070E-05  4.126540E-04  5.981854E+01
    13.6000   -1.411334E-04  3.748854E-04  6.007624E+01
    13.6500   -1.967130E-04  3.340645E-04  6.031989E+01
    13.7000   -2.196573E-04  2.927604E-04  6.053877E+01
