# Loss function from file ../../../EpsInv/opconsKK.dat located in directory
# /home/hebhop/Research/SE_Runs/Cu/Feff/FMS/NewFEFF90
#
# Header from ../../../EpsInv/opconsKK.dat
###############################################################################################
# name:     copper
# formula:  Cu
# sites:    Cu1
# refer1:   Kittel, ISSP
# refer2:
# schoen:
# notes1:   metal, fcc
# POT  SCF  30  5.8000   0, core-hole, AFOLP (folp(0)= 1.150)
#   omega (eV)      epsilon_1       epsilon_2       n               kappa           mu (cm^(-1))    R               epsinv   
###############################################################################################
#
# omega	-Im[eps**{-1}]
0.755912E+02 0.261213E+00
0.756442E+02 0.261280E+00
0.757000E+02 0.261509E+00
0.757585E+02 0.261737E+00
0.758197E+02 0.262062E+00
0.758837E+02 0.262502E+00
0.759504E+02 0.262911E+00
0.760197E+02 0.263501E+00
0.760919E+02 0.264109E+00
0.761667E+02 0.264670E+00
0.762442E+02 0.265234E+00
0.763245E+02 0.265604E+00
0.764075E+02 0.266039E+00
0.764932E+02 0.266496E+00
0.765817E+02 0.266830E+00
0.766728E+02 0.267105E+00
0.767667E+02 0.267511E+00
0.768633E+02 0.267954E+00
0.769626E+02 0.268411E+00
0.770647E+02 0.269044E+00
0.771694E+02 0.269765E+00
0.772769E+02 0.270772E+00
0.773000E+02 0.271141E+00
0.773014E+02 0.271055E+00
0.773055E+02 0.270978E+00
0.773122E+02 0.270920E+00
0.773218E+02 0.270882E+00
0.773340E+02 0.270864E+00
0.773490E+02 0.270868E+00
0.773667E+02 0.270895E+00
0.773871E+02 0.270950E+00
0.774102E+02 0.271013E+00
0.774361E+02 0.271064E+00
0.774646E+02 0.271126E+00
0.774959E+02 0.271205E+00
0.775299E+02 0.271288E+00
0.775667E+02 0.271376E+00
0.776061E+02 0.271478E+00
0.776483E+02 0.271598E+00
0.776932E+02 0.271684E+00
0.777408E+02 0.271780E+00
0.777912E+02 0.271851E+00
0.778442E+02 0.271876E+00
0.779000E+02 0.271949E+00
0.779585E+02 0.271968E+00
0.780197E+02 0.271970E+00
0.780837E+02 0.271961E+00
0.781504E+02 0.271861E+00
0.782197E+02 0.271778E+00
0.782919E+02 0.271696E+00
0.783667E+02 0.271577E+00
0.784442E+02 0.271461E+00
0.785245E+02 0.271280E+00
0.786075E+02 0.271124E+00
0.786932E+02 0.270987E+00
0.787817E+02 0.270828E+00
0.788728E+02 0.270659E+00
0.789667E+02 0.270434E+00
0.790633E+02 0.270157E+00
0.791626E+02 0.269880E+00
0.792647E+02 0.269644E+00
0.793694E+02 0.269252E+00
0.794769E+02 0.268728E+00
0.795871E+02 0.268186E+00
0.797000E+02 0.267651E+00
0.798157E+02 0.266879E+00
0.799341E+02 0.266015E+00
0.800552E+02 0.265082E+00
0.801790E+02 0.264148E+00
0.803055E+02 0.263102E+00
0.804348E+02 0.262014E+00
0.805667E+02 0.260906E+00
0.807014E+02 0.259843E+00
0.808388E+02 0.258804E+00
0.809790E+02 0.257746E+00
0.811218E+02 0.256777E+00
0.812674E+02 0.255861E+00
0.814157E+02 0.254956E+00
0.815667E+02 0.253992E+00
0.817205E+02 0.253129E+00
0.818770E+02 0.252301E+00
0.820361E+02 0.251293E+00
0.821981E+02 0.250395E+00
0.823627E+02 0.249526E+00
0.825300E+02 0.248609E+00
0.827001E+02 0.247645E+00
0.828729E+02 0.246693E+00
0.830484E+02 0.245793E+00
0.832266E+02 0.244734E+00
0.834076E+02 0.243694E+00
0.835913E+02 0.242683E+00
0.837777E+02 0.241541E+00
0.839668E+02 0.240402E+00
0.841586E+02 0.239273E+00
0.843532E+02 0.238109E+00
0.845505E+02 0.236891E+00
0.847505E+02 0.235661E+00
0.849532E+02 0.234364E+00
0.851587E+02 0.233014E+00
0.853668E+02 0.231611E+00
0.855777E+02 0.230074E+00
0.857913E+02 0.228521E+00
0.860076E+02 0.226837E+00
0.862267E+02 0.225060E+00
0.864485E+02 0.223260E+00
0.866730E+02 0.221301E+00
0.869002E+02 0.219317E+00
0.871301E+02 0.217308E+00
0.873628E+02 0.215218E+00
0.875981E+02 0.213181E+00
0.878363E+02 0.211154E+00
0.880771E+02 0.209095E+00
0.883206E+02 0.207054E+00
0.885669E+02 0.205030E+00
0.888158E+02 0.202974E+00
0.890676E+02 0.200958E+00
0.893220E+02 0.198982E+00
0.895791E+02 0.196995E+00
0.898390E+02 0.195105E+00
0.901016E+02 0.193223E+00
0.903669E+02 0.191333E+00
0.906349E+02 0.189556E+00
0.909057E+02 0.187775E+00
0.911792E+02 0.186046E+00
0.914554E+02 0.184431E+00
0.917343E+02 0.182819E+00
0.920159E+02 0.181289E+00
0.923003E+02 0.179857E+00
0.925873E+02 0.178438E+00
0.928771E+02 0.177144E+00
0.931697E+02 0.175940E+00
0.934649E+02 0.174790E+00
0.937629E+02 0.173706E+00
0.940636E+02 0.172648E+00
0.943670E+02 0.171677E+00
0.946731E+02 0.170625E+00
0.949819E+02 0.169616E+00
0.952935E+02 0.168658E+00
0.956078E+02 0.167551E+00
0.959248E+02 0.166444E+00
0.962446E+02 0.165310E+00
0.965670E+02 0.164117E+00
0.968922E+02 0.162890E+00
0.972201E+02 0.161692E+00
0.975507E+02 0.160508E+00
0.978840E+02 0.159254E+00
0.982201E+02 0.158050E+00
0.985589E+02 0.156870E+00
0.989004E+02 0.155693E+00
0.992446E+02 0.154564E+00
0.995915E+02 0.153480E+00
0.999412E+02 0.152405E+00
0.100294E+03 0.151383E+00
0.100649E+03 0.150441E+00
0.101007E+03 0.149525E+00
0.101367E+03 0.148657E+00
0.101730E+03 0.147808E+00
0.102096E+03 0.146985E+00
0.102465E+03 0.146197E+00
0.102837E+03 0.145417E+00
0.103211E+03 0.144670E+00
0.103588E+03 0.143946E+00
0.103967E+03 0.143238E+00
0.104349E+03 0.142517E+00
0.104734E+03 0.141785E+00
0.105122E+03 0.141062E+00
0.105513E+03 0.140357E+00
0.105906E+03 0.139669E+00
0.106302E+03 0.138920E+00
0.106701E+03 0.138132E+00
0.107102E+03 0.137346E+00
0.107506E+03 0.136570E+00
0.107913E+03 0.135809E+00
0.108322E+03 0.134962E+00
0.108735E+03 0.134081E+00
0.109150E+03 0.133200E+00
0.109567E+03 0.132327E+00
0.109988E+03 0.131470E+00
0.110411E+03 0.130486E+00
0.110837E+03 0.129484E+00
0.111265E+03 0.128481E+00
0.111697E+03 0.127483E+00
0.112131E+03 0.126459E+00
0.112567E+03 0.125360E+00
0.113007E+03 0.124254E+00
0.113449E+03 0.123139E+00
0.113894E+03 0.122026E+00
0.114341E+03 0.120880E+00
0.114792E+03 0.119715E+00
0.115245E+03 0.118549E+00
0.115701E+03 0.117377E+00
0.116159E+03 0.116207E+00
0.116620E+03 0.115048E+00
0.117084E+03 0.113892E+00
0.117551E+03 0.112739E+00
0.118020E+03 0.111588E+00
0.118493E+03 0.110457E+00
0.118967E+03 0.109338E+00
0.119445E+03 0.108233E+00
0.119925E+03 0.107139E+00
0.120408E+03 0.106056E+00
0.120894E+03 0.104996E+00
0.121382E+03 0.103947E+00
0.121874E+03 0.102906E+00
0.122367E+03 0.102332E+00
0.122500E+03 0.102390E+00
0.122501E+03 0.102401E+00
0.122505E+03 0.102414E+00
0.122512E+03 0.102427E+00
0.122522E+03 0.102438E+00
0.122534E+03 0.102448E+00
0.122549E+03 0.102453E+00
0.122567E+03 0.102453E+00
0.122587E+03 0.102447E+00
0.122610E+03 0.102433E+00
0.122636E+03 0.102412E+00
0.122665E+03 0.102382E+00
0.122696E+03 0.102344E+00
0.122730E+03 0.102297E+00
0.122767E+03 0.102242E+00
0.122806E+03 0.102180E+00
0.122848E+03 0.102108E+00
0.122893E+03 0.102034E+00
0.122941E+03 0.101959E+00
0.122991E+03 0.101882E+00
0.123044E+03 0.101802E+00
0.123100E+03 0.101717E+00
0.123159E+03 0.101628E+00
0.123220E+03 0.101535E+00
0.123284E+03 0.101438E+00
0.123350E+03 0.101335E+00
0.123420E+03 0.101227E+00
0.123492E+03 0.101114E+00
0.123567E+03 0.100995E+00
0.123644E+03 0.100871E+00
0.123725E+03 0.100741E+00
0.123808E+03 0.100606E+00
