# Orientation sensitive EELS calculation - beam energy =   300.keV
# Sample to beam orientation :    0.000    0.000    1.000
# Collection and convergence semiangle:      1.100      0.300   ; # points:   100 x 1
# Detector position:     0.0000     0.0000
# Units are a_0^2 / eV.  Multiply by 28.00 10^-18  to get cm^-2 / eV.  Or by 28 to get Mbarn / eV.
# Relativistic and cross-terms.
# # POT  SCF 100  4.5000   0, screened core-hole, AFOLP (folp(0)= 1.150)                            
# # Gam_ch=8.676E-02 H-L exch Vi= 4.000E-01 Vr= 1.000E+00                                           
# FMS rfms= 6.0000                                                                                  
#  S02=1.000  Temp=   0.00  Debye_temp=   0.00  Global_sig2= 0.00000                                
#  Energy zero shift, vr, vi    0.00000E+00   0.00000E+00                                           
#  Energy       total         atomic-bg     fine-struct   xx            xy            xz            yx            yy            yz            zx            zy            zz
   305.407      0.695823E-06  0.542762E-06  0.153061E-06  0.286174E-06 -0.263895E-25 -0.362108E-16 -0.156438E-25  0.287464E-06 -0.920231E-30 -0.391464E-16 -0.709111E-30  0.122186E-06
   306.445      0.515123E-06  0.531631E-06 -0.165082E-07  0.185847E-06  0.270828E-26  0.910076E-17  0.514906E-26  0.185434E-06  0.693393E-31  0.114490E-16  0.172984E-30  0.143841E-06
   307.502      0.427481E-06  0.520932E-06 -0.934511E-07  0.132805E-06 -0.275838E-26  0.476262E-16 -0.391666E-26  0.132969E-06  0.552011E-31  0.460462E-16  0.784874E-30  0.161707E-06
   308.578      0.396548E-06  0.510636E-06 -0.114088E-06  0.115779E-06 -0.532938E-26 -0.207752E-16 -0.445818E-26  0.116038E-06 -0.227788E-30 -0.247286E-16 -0.408589E-30  0.164731E-06
   309.674      0.371886E-06  0.500718E-06 -0.128832E-06  0.112639E-06  0.132003E-26 -0.174183E-16  0.214582E-26  0.112521E-06 -0.509980E-31 -0.168329E-16  0.294842E-31  0.146726E-06
   310.788      0.317256E-06  0.491154E-06 -0.173898E-06  0.102514E-06 -0.773094E-28  0.504938E-17 -0.702346E-27  0.102576E-06  0.241931E-31  0.492505E-17 -0.269954E-31  0.112167E-06
   311.922      0.276813E-06  0.481920E-06 -0.205107E-06  0.928237E-07  0.227359E-26  0.714253E-18  0.202908E-26  0.924910E-07  0.794219E-32 -0.195135E-17  0.249114E-31  0.914984E-07
   313.074      0.255349E-06  0.472993E-06 -0.217644E-06  0.867741E-07 -0.734057E-26  0.157288E-17  0.644660E-28  0.872176E-07  0.195474E-31  0.430447E-17  0.437570E-31  0.813578E-07
   314.246      0.241398E-06  0.464353E-06 -0.222955E-06  0.838045E-07  0.250331E-27  0.113115E-16  0.806407E-27  0.837456E-07  0.609842E-31  0.129326E-16  0.111529E-30  0.738481E-07
   315.436      0.256008E-06  0.455981E-06 -0.199973E-06  0.922803E-07 -0.883370E-26  0.795544E-17 -0.338543E-26  0.926465E-07  0.544656E-31  0.999938E-17  0.261510E-31  0.710814E-07
   316.646      0.294461E-06  0.447858E-06 -0.153397E-06  0.108033E-06 -0.841261E-26 -0.820969E-17 -0.919705E-27  0.108582E-06 -0.519002E-31 -0.110145E-16 -0.592382E-30  0.778464E-07
   317.875      0.326881E-06  0.439966E-06 -0.113085E-06  0.120943E-06  0.635706E-26  0.105357E-16  0.554611E-26  0.120599E-06  0.394504E-30  0.954249E-17  0.121191E-30  0.853400E-07
   319.123      0.357679E-06  0.432292E-06 -0.746130E-07  0.132523E-06 -0.121014E-26  0.177388E-16 -0.669315E-27  0.132570E-06  0.140220E-31  0.168788E-16  0.690868E-30  0.925861E-07
   320.389      0.388842E-06  0.424820E-06 -0.359788E-07  0.144784E-06 -0.695336E-26  0.236723E-16 -0.634593E-26  0.145238E-06  0.413668E-30  0.237137E-16  0.917541E-30  0.988194E-07
   321.675      0.416081E-06  0.417534E-06 -0.145286E-08  0.156135E-06  0.468374E-26 -0.310213E-17  0.496327E-26  0.155827E-06 -0.181655E-31 -0.266642E-17  0.795540E-32  0.104119E-06
   322.980      0.434881E-06  0.410418E-06  0.244638E-07  0.164271E-06  0.145966E-25 -0.268077E-16  0.840297E-26  0.163445E-06  0.145762E-30 -0.259871E-16 -0.901827E-30  0.107166E-06
   324.304      0.437521E-06  0.403465E-06  0.340563E-07  0.165632E-06  0.540442E-26 -0.676260E-17  0.173254E-26  0.165283E-06 -0.187916E-30 -0.581693E-17  0.457342E-31  0.106607E-06
   325.647      0.421199E-06  0.396656E-06  0.245434E-07  0.159341E-06  0.260715E-26  0.131433E-16  0.486157E-26  0.159088E-06  0.198264E-30  0.131514E-16  0.209800E-30  0.102771E-06
   327.009      0.396771E-06  0.389985E-06  0.678592E-08  0.149947E-06  0.784115E-26  0.136996E-16  0.105765E-25  0.149090E-06  0.183675E-30  0.147075E-16  0.449384E-30  0.977341E-07
   328.390      0.381449E-06  0.383441E-06 -0.199195E-08  0.142961E-06  0.753303E-26  0.100897E-16  0.111115E-25  0.142444E-06  0.178622E-30  0.102103E-16  0.286374E-31  0.960436E-07
   329.791      0.357662E-06  0.377010E-06 -0.193482E-07  0.133502E-06  0.977116E-26  0.258887E-16  0.123908E-25  0.132934E-06  0.462102E-30  0.262479E-16  0.112181E-30  0.912257E-07
   331.210      0.335718E-06  0.370685E-06 -0.349670E-07  0.124636E-06  0.349480E-27  0.243031E-16  0.740746E-27  0.124566E-06  0.181039E-30  0.248448E-16  0.214037E-30  0.865161E-07
   332.648      0.319606E-06  0.364461E-06 -0.448547E-07  0.118655E-06  0.725138E-27  0.870466E-17  0.431221E-27  0.118590E-06  0.794557E-31  0.938240E-17  0.265438E-30  0.823608E-07
   334.105      0.308915E-06  0.358327E-06 -0.494114E-07  0.115321E-06  0.311660E-26 -0.768529E-17  0.459795E-26  0.115114E-06 -0.331470E-30 -0.701129E-17 -0.681534E-31  0.784797E-07
   335.582      0.302600E-06  0.352273E-06 -0.496737E-07  0.113975E-06 -0.443920E-26  0.272751E-16 -0.353043E-26  0.114222E-06  0.983759E-30  0.277331E-16  0.401138E-30  0.744028E-07
   337.077      0.296513E-06  0.346296E-06 -0.497827E-07  0.112135E-06 -0.112379E-25  0.235280E-16  0.138273E-26  0.112891E-06  0.291213E-30  0.241180E-16  0.379196E-30  0.714867E-07
   338.592      0.292399E-06  0.340385E-06 -0.479864E-07  0.110672E-06 -0.470724E-26  0.322635E-17 -0.413723E-26  0.111679E-06  0.120734E-30  0.404895E-17  0.140497E-30  0.700479E-07
   340.125      0.289433E-06  0.334539E-06 -0.451054E-07  0.109574E-06 -0.129383E-25 -0.187982E-16 -0.129644E-26  0.110277E-06 -0.660579E-30 -0.176365E-16 -0.606307E-30  0.695817E-07
   341.678      0.287897E-06  0.328752E-06 -0.408547E-07  0.109054E-06 -0.518117E-27 -0.306089E-16 -0.155701E-26  0.109173E-06 -0.667942E-30 -0.290194E-16 -0.106272E-29  0.696695E-07
   343.249      0.288781E-06  0.323020E-06 -0.342386E-07  0.109559E-06  0.495218E-26 -0.266542E-16  0.137220E-25  0.109097E-06  0.199991E-30 -0.245139E-16 -0.765436E-30  0.701252E-07
   344.840      0.292486E-06  0.317338E-06 -0.248519E-07  0.111292E-06  0.119539E-25 -0.826924E-17  0.622538E-26  0.110347E-06 -0.438384E-30 -0.538358E-17 -0.342093E-30  0.708469E-07
   346.450      0.298105E-06  0.311703E-06 -0.135980E-07  0.113919E-06  0.375589E-25  0.240938E-16  0.957566E-26  0.112570E-06  0.354218E-30  0.274752E-16  0.118000E-29  0.716152E-07
   348.078      0.302766E-06  0.306115E-06 -0.334928E-08  0.115705E-06  0.176076E-25  0.436349E-16  0.780243E-26  0.114725E-06  0.148682E-29  0.458567E-16  0.651020E-32  0.723367E-07
   349.726      0.310911E-06  0.300574E-06  0.103369E-07  0.119614E-06  0.176503E-25 -0.158364E-16  0.129855E-25  0.118553E-06  0.526424E-32 -0.124419E-16 -0.914067E-31  0.727440E-07
   351.393      0.316090E-06  0.295089E-06  0.210010E-07  0.122651E-06  0.958801E-26 -0.717246E-16  0.140299E-25  0.121146E-06 -0.122265E-29 -0.662090E-16 -0.126284E-29  0.722928E-07
   353.079      0.314968E-06  0.289667E-06  0.253020E-07  0.122433E-06  0.277711E-25 -0.988157E-16  0.376106E-26  0.121027E-06 -0.361205E-29 -0.907172E-16 -0.282653E-29  0.715083E-07
   354.784      0.307327E-06  0.284231E-06  0.230960E-07  0.118544E-06  0.952241E-27 -0.889773E-16  0.892505E-26  0.118000E-06 -0.892017E-30 -0.805922E-16 -0.226598E-29  0.707827E-07
